rank,feature,importance
1,band_10_30,2.124727
2,band_30_60,1.984127
3,rolling_element_h5_energy,1.733736
4,inner_race_h1_energy,1.668792
5,max_fault_harmonic_energy,1.577640
6,kurtosis,1.559044
7,inner_race_h3_energy,1.535885
8,rolling_element_h4_energy,1.495073
9,outer_race_h5_energy,1.450813
10,shaft_frequency_hz,1.449059
11,band_0_10,1.423622
12,inner_race_h5_energy,1.405994
13,spectral_centroid,1.400058
14,ptp,1.386679
15,crest_factor,1.369142
16,peak,1.333033
17,rolling_element_h2_energy,1.317489
18,outer_race_h1_energy,1.294114
19,outer_race_h4_energy,1.283499
20,outer_race_h2_energy,1.276014
21,spectral_entropy,1.267116
22,spectral_bandwidth,1.261121
23,shape_factor,1.233275
24,mean,1.190171
25,outer_race_h3_energy,1.186249
26,inner_race_h2_energy,1.170085
27,inner_race_h4_energy,1.163812
28,rolling_element_h3_energy,1.136491
29,std,1.133421
30,skew,1.112873
31,rms,1.050816
32,impulse_factor,1.004819
33,rolling_element_h1_energy,0.999262
34,band_60_100,0.939020
