rank,feature,importance
1,spectral_centroid,50.545936
2,spectral_bandwidth,45.013962
3,shape_factor,37.516108
4,shaft_frequency_hz,30.986906
5,band_0_10,26.766647
6,spectral_entropy,24.075357
7,kurtosis,23.722176
8,band_30_60,21.860869
9,band_60_100,21.785057
10,band_10_30,19.709458
11,impulse_factor,12.589607
12,rolling_element_h2_energy,11.464413
13,rolling_element_h3_energy,11.276793
14,ptp,10.870385
15,inner_race_h4_energy,8.837333
16,outer_race_h2_energy,8.513522
17,outer_race_h1_energy,8.405471
18,inner_race_h2_energy,8.336426
19,rms,8.032348
20,crest_factor,7.814260
21,mean,6.893235
22,std,6.787852
23,outer_race_h5_energy,6.709350
24,peak,6.603036
25,max_fault_harmonic_energy,5.976575
26,skew,5.839152
27,inner_race_h1_energy,5.709869
28,inner_race_h5_energy,5.274846
29,rolling_element_h4_energy,5.121607
30,rolling_element_h1_energy,4.411546
31,outer_race_h3_energy,3.558354
32,rolling_element_h5_energy,3.545248
33,outer_race_h4_energy,3.487541
34,inner_race_h3_energy,2.494839
