rank,feature,importance
1,band_0_10,3.225376
2,shape_factor,2.851422
3,spectral_centroid,2.673897
4,shaft_frequency_hz,2.543188
5,band_10_30,2.456802
6,inner_race_h1_energy,2.429997
7,kurtosis,2.421746
8,band_30_60,2.336160
9,spectral_bandwidth,2.195812
10,max_fault_harmonic_energy,2.097764
11,rolling_element_h4_energy,2.023748
12,skew,1.976519
13,rolling_element_h3_energy,1.962270
14,crest_factor,1.933227
15,inner_race_h4_energy,1.895169
16,inner_race_h3_energy,1.893518
17,mean,1.829576
18,inner_race_h2_energy,1.803095
19,spectral_entropy,1.786843
20,inner_race_h5_energy,1.777989
21,outer_race_h1_energy,1.737551
22,std,1.731866
23,ptp,1.720270
24,peak,1.711252
25,rolling_element_h2_energy,1.698606
26,outer_race_h5_energy,1.697104
27,outer_race_h3_energy,1.689649
28,rolling_element_h5_energy,1.662277
29,outer_race_h2_energy,1.651069
30,impulse_factor,1.621833
31,rolling_element_h1_energy,1.607831
32,band_60_100,1.583715
33,outer_race_h4_energy,1.464165
34,rms,1.426752
