rank,feature,importance
1,max_fault_harmonic_energy,nan
2,shaft_frequency_hz,nan
3,band_0_10,nan
4,spectral_entropy,nan
5,spectral_bandwidth,nan
6,spectral_centroid,nan
7,entropy,nan
8,zero_crossings,nan
9,impulse_factor,nan
10,shape_factor,nan
11,crest_factor,nan
12,kurtosis,nan
13,skew,nan
14,ptp,nan
15,peak,nan
16,rms,nan
17,std,nan
18,band_10_30,nan
19,band_30_60,nan
20,band_60_100,nan
21,inner_race_h4_energy,nan
22,rolling_element_h5_energy,nan
23,rolling_element_h4_energy,nan
24,rolling_element_h3_energy,nan
25,rolling_element_h2_energy,nan
26,rolling_element_h1_energy,nan
27,inner_race_h5_energy,nan
28,inner_race_h3_energy,nan
29,outer_race_h1_energy,nan
30,inner_race_h2_energy,nan
31,inner_race_h1_energy,nan
32,outer_race_h5_energy,nan
33,outer_race_h4_energy,nan
34,outer_race_h3_energy,nan
35,outer_race_h2_energy,nan
36,mean,nan
